"FACID"|"FACNAME"|"FAC_TYPE_CODE"|"FAC_FDR"|"SERVICE_TYPE_CODE"|"SERVICE_TYPE_NAME"|"SERVICE_OTHER_NAME"|"IS_OFFSITE_SERVICE"|"OFFSITE_NAME"|"OFFSITE_ADDRESS1"|"OFFSITE_CITY"|"OFFSITE_STATE"|"OFFSITE_ZIP"|"COUNTY_NAME"|"START_DATE"|"LONGITUDE"|"LATITUDE"|"LOCATION"
"010000001"|"VINEYARD POST ACUTE"|"SNF"|"SKILLED NURSING FACILITY"|"018"|"PHYSICAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000001"|"VINEYARD POST ACUTE"|"SNF"|"SKILLED NURSING FACILITY"|"025"|"SPEECH PATHOLOGY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000003"|"CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH"|"SNF"|"SKILLED NURSING FACILITY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000003"|"CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH"|"SNF"|"SKILLED NURSING FACILITY"|"025"|"SPEECH PATHOLOGY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000003"|"CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH"|"SNF"|"SKILLED NURSING FACILITY"|"018"|"PHYSICAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000004"|"CRESCENT CITY SKILLED NURSING"|"SNF"|"SKILLED NURSING FACILITY"|"018"|"PHYSICAL THERAPY"||"0"||||||"DEL NORTE"|02/24/2005|||"                          ."
"010000004"|"CRESCENT CITY SKILLED NURSING"|"SNF"|"SKILLED NURSING FACILITY"|"025"|"SPEECH PATHOLOGY"||"0"||||||"DEL NORTE"|02/24/2005|||"                          ."
"010000022"|"FRIENDS HOUSE"|"SNF"|"SKILLED NURSING FACILITY"|"240"|"OUTPATIENT SERVICES"|"OCCUPATIONAL THERAPY"|"0"||||||"SONOMA"|02/28/2013|||"                          ."
"010000022"|"FRIENDS HOUSE"|"SNF"|"SKILLED NURSING FACILITY"|"240"|"OUTPATIENT SERVICES"|"SPEECH THERAPY"|"0"||||||"SONOMA"|02/28/2013|||"                          ."
"010000022"|"FRIENDS HOUSE"|"SNF"|"SKILLED NURSING FACILITY"|"240"|"OUTPATIENT SERVICES"|"PHYSICAL THERAPY"|"0"||||||"SONOMA"|02/28/2013|||"                          ."
"010000028"|"EMPRES POST ACUTE REHABILITATION"|"SNF"|"SKILLED NURSING FACILITY"|"240"|"OUTPATIENT SERVICES"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000028"|"EMPRES POST ACUTE REHABILITATION"|"SNF"|"SKILLED NURSING FACILITY"|"018"|"PHYSICAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000028"|"EMPRES POST ACUTE REHABILITATION"|"SNF"|"SKILLED NURSING FACILITY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000028"|"EMPRES POST ACUTE REHABILITATION"|"SNF"|"SKILLED NURSING FACILITY"|"025"|"SPEECH PATHOLOGY"||"0"||||||"SONOMA"|02/24/2005|||"                          ."
"010000029"|"HEALDSBURG SENIOR LIVING COMMUNITY"|"SNF"|"SKILLED NURSING FACILITY"|"240"|"OUTPATIENT SERVICES"|"THERAPY"|"1"||"725 GROVE STREET"|"HEALDSBURG"|"CA"|"95448"|"SONOMA"|02/15/2011|-122.875795999999|38.6264729999999|"(-122.875796,38.626473)"
"010000096"|"KAISER FOUNDATION HOSPITAL HOME HEALTH-VALLEJO"|"HHA"|"HOME HEALTH AGENCY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"SOLANO"|02/24/2005|||"                          ."
"010000096"|"KAISER FOUNDATION HOSPITAL HOME HEALTH-VALLEJO"|"HHA"|"HOME HEALTH AGENCY"|"054"|"SPEECH THERAPY"||"0"||||||"SOLANO"|02/24/2005|||"                          ."
"010000096"|"KAISER FOUNDATION HOSPITAL HOME HEALTH-VALLEJO"|"HHA"|"HOME HEALTH AGENCY"|"018"|"PHYSICAL THERAPY"||"0"||||||"SOLANO"|02/24/2005|||"                          ."
"010000096"|"KAISER FOUNDATION HOSPITAL HOME HEALTH-VALLEJO"|"HHA"|"HOME HEALTH AGENCY"|"051"|"HOME HEALTH AIDE SERVICES"||"0"||||||"SOLANO"|02/24/2005|||"                          ."
"010000096"|"KAISER FOUNDATION HOSPITAL HOME HEALTH-VALLEJO"|"HHA"|"HOME HEALTH AGENCY"|"045"|"NURSING CARE SERVICES"||"0"||||||"SOLANO"|02/01/2011|||"                          ."
"010000096"|"KAISER FOUNDATION HOSPITAL HOME HEALTH-VALLEJO"|"HHA"|"HOME HEALTH AGENCY"|"052"|"MEDICAL SOCIAL SERVICES"||"0"||||||"SOLANO"|02/24/2005|||"                          ."
"010000098"|"ADVENTIST HEALTH HOME CARE SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"014"|"OCCUPATIONAL THERAPY"||"0"||||||"NAPA"|01/14/2009|||"                          ."
"010000098"|"ADVENTIST HEALTH HOME CARE SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"054"|"SPEECH THERAPY"|"SPEECH PATHOLOGY/AUDIO"|"0"||||||"NAPA"|01/14/2009|||"                          ."
"010000098"|"ADVENTIST HEALTH HOME CARE SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"052"|"MEDICAL SOCIAL SERVICES"|"MEDICAL SOCIAL WORKER"|"0"||||||"NAPA"|01/14/2009|||"                          ."
"010000098"|"ADVENTIST HEALTH HOME CARE SERVICES"|"HHA"|"HOME HEALTH AGENCY"|"018"|"PHYSICAL THERAPY"||"0"||||||"NAPA"|01/14/2009|||"                          ."
